PLOT,C1_C5_L,C6_C10_L,C11_C15_L,C16_C20_L,C21_C25_L,C26_C30_L,C31_C35_L,C36_C40_L,C41_C45_L,C1_C5_H,C6_C10_H,C11_C15_H,C16_C20_H,C21_C25_H,C26_C30_H,C31_C35_H,C36_C40_H,C41_C45_H
BANL0302,1,2,4,4,4,3,4,3,0,5,5,2,1,0,2,1,5,3
BANL0303,3,4,5,2,1,5,4,3,5,4,5,4,4,5,1,4,0,0
BANL0501,3,5,0,3,4,0,2,5,5,5,1,4,1,1,0,0,2,3
BANLR0504,4,0,0,3,5,5,2,5,4,5,3,0,0,2,5,0,0,2
BANL0505,5,2,3,5,4,2,1,4,1,3,0,0,0,1,0,0,2,0
BAT1P10,0,0,0,0,0,0,4,3,3,0,0,1,2,1,5,5,5,5
BAT1P12,3,1,5,3,0,4,2,5,2,0,0,2,1,0,3,0,0,0
BAT1P14,3,4,2,2,1,2,5,3,2,0,1,1,0,2,5,5,1,3
BAT1P15,0,1,0,0,4,2,5,5,0,0,0,0,0,3,2,4,4,0
BAT1P16,0,5,3,1,2,4,5,2,1,2,4,0,0,0,3,4,3,0
BAT1P17,1,5,4,4,4,4,2,4,5,5,2,0,3,2,4,3,2,2
BAT1P18,1,2,3,2,1,2,1,3,4,0,0,0,5,1,4,2,4,3
BAT1P19,3,4,0,0,0,4,5,3,0,0,1,0,0,0,2,5,2,2
BAT1P20,2,4,0,1,4,2,2,2,3,0,0,0,0,3,5,5,5,0
BAT1P21,1,0,2,1,3,2,4,2,4,3,0,0,5,5,5,3,0,5
BAT1P22,2,1,0,0,0,0,0,4,2,3,2,0,0,0,0,0,4,5
BAT1P23,1,4,3,2,1,0,2,4,2,0,0,2,3,3,0,2,5,0
BAT1P25,0,4,3,3,3,3,5,5,2,0,0,0,0,3,5,5,5,2
BAT1P26,4,3,3,2,0,3,5,4,4,0,2,4,3,2,4,1,3,5
BAT1P27,4,2,4,2,1,3,2,3,2,1,5,4,5,5,5,4,5,4
BAT1P28,3,4,0,1,5,1,4,2,3,3,3,5,5,1,2,5,5,4
MAT1C5P01,2,3,0,4,0,0,4,3,0,5,1,0,4,3,0,0,0,0
MAT1C502JR,3,2,3,3,0,5,5,0,0,5,3,3,1,2,0,0,2,0
MAT1C5P02,5,5,4,1,5,4,4,5,5,0,0,1,0,0,0,0,0,0
MAT1C5P06,0,0,2,5,4,0,0,2,0,3,5,5,5,3,3,5,5,4
MAT1C6P01,3,4,2,1,5,5,2,0,4,5,5,4,3,5,5,5,1,2
MAT1C6P02,0,0,1,5,3,3,3,5,4,3,2,5,5,5,3,4,0,5
MAT1C6P03,4,5,3,3,2,5,3,1,3,4,4,4,4,5,5,5,3,4
MAT1C6P04,2,2,2,0,3,4,5,4,4,2,4,5,2,3,4,5,5,4
MAT1C6P05,4,5,3,0,4,5,3,3,4,0,0,0,0,1,5,3,3,0
MAT1C6P06,5,0,0,4,4,2,1,2,2,0,0,0,4,5,1,4,5,5
MAT1C6P07,5,0,3,0,0,0,3,1,3,2,5,4,4,5,3,5,5,3
MAT1C6P08,4,4,3,3,2,0,0,4,4,1,0,2,4,2,2,3,5,5
MAT1C6P09,1,3,4,5,5,1,1,4,2,5,1,0,2,4,5,5,5,5
MAT2C2P01,4,3,4,0,2,2,2,3,1,5,5,5,5,0,1,3,4,1
MAT2C2P02,5,4,4,3,3,1,1,3,3,5,2,4,4,5,5,5,5,5
MAT2C2P03,2,3,3,0,3,2,2,5,1,0,4,4,5,5,5,5,5,5
MAT2C2P04,5,5,3,5,3,0,0,0,2,3,2,5,0,3,0,2,1,0
MAT2C2P05,3,0,3,2,3,2,0,5,5,5,3,5,5,1,2,3,2,4
MAT2C2P06,5,3,2,0,5,5,4,3,3,4,0,0,3,3,4,5,5,5
MAT2C2P07,0,3,2,5,1,3,5,0,4,5,5,0,4,0,0,5,5,3
MAT2C2P08,0,5,5,1,1,2,5,5,3,0,0,2,0,1,2,3,4,4
MAT2C2P09,0,2,0,3,1,5,5,4,2,4,5,5,4,1,5,5,5,5
MAT2C3P01,3,5,5,5,4,5,4,3,1,5,4,2,1,0,1,3,2,2
MAT2C3P02,3,2,5,2,0,4,2,3,1,5,5,5,5,5,5,5,4,5
MAT2C3P03,1,3,5,5,1,1,0,2,1,4,5,3,2,2,0,0,0,0
MAT2C3P04,0,0,2,2,3,1,2,4,2,5,5,3,1,5,5,3,3,5
MAT2C3P05,3,2,3,3,2,5,1,3,4,5,5,5,5,4,4,2,0,4
MAT2C4P01,0,3,5,3,2,4,5,5,5,0,2,1,3,3,2,5,4,5
MAT2C4P02,4,0,1,0,1,3,1,3,3,0,0,3,0,0,2,2,4,4
MAT2C4P03,5,3,0,1,5,4,2,5,5,0,3,2,5,5,2,2,5,4
MAT2C4P04,0,1,2,1,5,5,3,5,5,1,1,0,1,3,3,3,2,1
BAT2P01,4,0,3,3,2,4,1,5,1,0,0,0,0,1,5,4,1,5
BAT2P02,5,5,5,4,2,5,5,3,3,0,0,2,5,3,3,2,5,1
BAT2P03,4,1,1,4,1,0,3,0,2,0,4,4,4,5,4,1,0,0
BAT2P04,1,3,3,0,2,1,4,5,4,5,4,4,0,3,5,3,4,4
BAT2P05,2,4,3,2,4,3,5,5,3,5,3,5,2,4,4,0,1,5
BAT2P06,3,2,5,4,4,3,5,4,2,5,5,5,5,3,4,3,4,2
BAT2P07,5,5,3,4,3,5,5,4,5,4,1,0,0,0,3,5,5,4
BAT2P08,2,2,5,0,3,3,5,0,3,0,4,3,0,0,0,0,0,0
BAT2P09,5,5,1,5,5,5,5,5,4,2,5,5,5,5,5,5,5,4
BAT2P11,2,4,2,4,2,4,1,5,3,3,0,0,4,5,5,1,1,4
BAT2P12,5,5,5,4,5,2,5,4,1,4,2,2,5,5,5,5,5,2
BAT2P13,2,2,3,4,5,3,1,3,5,4,5,5,4,2,0,0,0,0
BAT3P01,0,2,3,5,5,4,4,5,5,5,5,5,5,4,5,5,5,3
BAT3P02,5,3,3,4,1,3,1,4,5,5,5,5,2,4,5,5,5,5
BAT3P03,4,5,4,5,4,5,3,2,5,5,5,4,5,3,5,1,0,0
BAT3P04,5,4,5,5,5,5,4,4,4,5,5,5,2,4,0,0,0,0
BAT3P05,5,5,5,4,3,2,5,3,5,5,3,4,4,0,0,0,1,2
BAT3P06,4,5,4,0,0,0,3,5,5,5,5,0,2,2,4,4,3,4
BAT3P07,2,4,5,5,4,5,5,4,0,2,0,1,1,0,0,1,4,4
BAT3P08,5,5,5,3,4,4,5,5,5,5,0,5,5,5,4,5,3,5
BAT3P09,0,4,5,2,4,3,5,4,5,0,1,3,2,2,5,5,5,5
BAT3P10,3,5,3,2,5,4,5,5,5,5,5,5,1,0,3,0,1,1
BAT3P11,5,5,4,5,5,5,5,5,4,5,5,4,1,3,5,5,5,5
BAT3P12,5,5,0,4,5,2,5,4,1,5,5,5,5,5,5,5,5,5
